frame,bbox,upscale_text,upscale_morph_text
0,"1007,831,1189,931",99 0?1 ১-082,04!1)| :১-৮08> 9)?
1,"1003,833,1185,930",৬৬) ঁ9| ১১-৮৩৪৯,৬৬) ঁ৬| ১১-৮৩৪৯
2,"1003,833,1184,929",চট্ট মেঢ্রো ১১-৮৩৪৯,চট্ট মেট্রেো ১১-৮৩৪৯
3,"1000,834,1181,929",৮৬ মডেো ১১-৮৩৪৯,চ} মে ' ১১-৮৩৪৯
4,"999,834,1180,929",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
5,"997,834,1178,929",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
6,"997,834,1176,929",৬৬ স৬| ১১-৮৩৪৯,৬৬; স৬| ১১-৮৩৪৯
7,"996,835,1175,930",৮৬ মে৬] ১১-৮৩৪৯,৩  স৫ ১১-৮৩৪;
8,"993,836,1178,932",কঢ স৪র' ১১-৮৩১:,হঢ মে৪র ১৯-৮ ৩১
9,"990,836,1178,932",চট --চ ১১-৮38;,চট্ --চর ১১-: '8.
10,"989,836,1178,933",১- ;>,১১-. :{.
11,"987,835,1176,932","7`)7,',",">,-7`),,"
12,"988,835,1172,932",চঢ নডো ১১-৮'৪৯,চঢ হডো ১১-৮'৪৯
13,"986,836,1169,932",চট্ েড্েো ১১-৮৩৪৯,৮ট মেডেৌ ১১-৮৩৪৯
14,"985,837,1166,933",চট্ট মেট্রা ১১-৮৩৪৯,চট্ট মেট্রেো ১১-৮৩৪৯
15,"981,837,1164,934","7` "",)]1 :)-)-1,')8",")1, ;,)1, :)-)-1`)""|"
16,"977,838,1162,935",1৬ ''৬1 ১১-৮8@,১৬ ''৬1 ১১-৮'8৯
17,"973,837,1161,936","7`)?,^,","55 771 >-7`)?,,"
18,"966,835,1160,938",,
19,"960,836,1160,940",,
20,"958,837,1155,942",,
21,"952,840,1147,941",,
22,"948,841,1139,945",,
23,"941,843,1131,947",,'!
24,"936,846,1119,946",91 0141 ১3-0982,91} 0!71 ১১১-৮৩83
25,"927,850,1111,949",চট্ট মেট্রেো ১১-৮৩৪৯,চট্ট মেট্রেো ১১-৮৩৪৯
26,"918,854,1105,952",চট নেডো- ১১-৮ ৪৯,চট মেডরো-? ১১-৮ ৪৯
27,"909,856,1098,955",চ5 মো ১১-য  ৪১,চচ ঢ্ো ১১- '৪.
28,"900,860,1090,958",চ5 ঢেডো' ১১-'8১,5 ) '39]14 ১১-8১
29,"890,862,1086,963",,
30,"884,864,1080,968",,
31,"876,867,1069,971",,
32,"869,869,1060,973",১১-: ৩১`,১১-: ৩>`
33,"861,871,1055,973",চ মেতা ১১:: :৪ ১, <ো ১১:: :৪ :
34,"854,873,1047,976",ম ম ১১-. ৪:.,চ= -চে ১১-. ৪:.
35,"848,875,1037,976",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
36,"842,878,1030,979",২; ম!] ১১১-৮৩১;,২০; মেহে ১১-৮৩১
37,"836,881,1022,980",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
38,"828,881,1013,981",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
39,"821,884,1008,983",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
40,"814,883,1001,983",৮ট মেট্রেো ১১-৮৩৪৯,৮টট মেট্েো ১১-৮৩৪৯
41,"807,884,992,984",৮৬ মে৬েো ১১-৮৩৪৯,৮৬ মেতরে] ১১-৮৩৪৯
42,"798,883,985,985","৮৬"" @4য1] ১৯=}৩:৮",হয সেো ১৯ ৮ ৩:৮;
43,"792,883,977,983",৮ট্ট মেট্রো ১১-৮৩৪৯,৮ট্ট মেট্রো ১১-৮৩৪৯
44,"781,885,972,987","১৫ ২েট্ো ১-:৩$,","১৫ নেট্"" ১১-:৩$,"
45,"776,887,964,986",চট্ট মেট্রো গ ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
46,"770,885,956,984",চট্ট মেট্রো ১১-৮৩৪৯,৮ট্ট মেট্রো ১১-৮৩৪৯
47,"762,886,947,988",4411 141 09)142,441[]| % 0)1!;
48,"754,887,940,987","04461|| ""| 0)3} 9)""",91 7 ]| % 0)3}
49,"747,886,935,987",৮৬ মেট্েো ১১-৮৩৪৯,৮৬ মেট্রে] ১১১-৮৩৪১
50,"740,886,929,987",চট্ট মেঢ্রো ১১-৮৩৪১,চট্ট মেট্রো ১১-৮৩৪১
51,"734,886,923,987",১৬ নে-ট্রা ১১-৮ ৩8;,১ট নে-ট্রা ১১- ৩১;
52,"726,885,919,989",,
53,"720,886,913,989",,
54,"716,886,903,988","১১_১={05,`",^4:1 ১১৮৬(:৮;.;
55,"708,884,900,987",,
56,"702,883,897,983",,
57,"698,882,889,981",,
58,"692,882,882,982",,
59,"686,882,872,981",চট নে ১১-৮ ১8:,চটূ মেে ১১-৮ 8:
60,"678,878,869,980",,; :8
61,"672,878,865,980",983,882
62,"664,876,862,978",,
63,"659,878,852,979",,
64,"651,876,846,981",,
65,"644,876,835,980",,"%,"
66,"638,878,825,977",".71 ১>-7`)8`,","৬ 9 -7`)8',"
67,"630,876,820,978",,
68,"622,876,812,979",,
69,"615,878,804,978",753 7 `%:),"52 753 -7 `%:,"
70,"607,878,797,979",,
71,"596,876,789,979",,
72,"587,877,781,982",,
73,"575,878,776,982",,
74,"566,878,764,985",,
75,"557,878,752,987",,
76,"548,882,738,989",,
77,"537,885,727,987",৯1 মেধে ১১-৮৩৪১,^৬ মেধ!]] ১১-৮ ৩৪;
78,"524,885,725,987",,
79,"513,887,721,989",,
80,"504,887,709,992",,
81,"496,890,692,996",,
82,"485,891,678,997","91) ',2""01 237!",")0) ',2""01 ')237'"
83,"475,890,669,998",")/{) '|42,{)1","9{) ',4/1)1 ^ )2304"
84,"462,891,659,999",,
85,"450,893,652,1001",,
86,"443,896,637,1001",99 ৫09[ >>-1`)72,90 ৫09[ ১>-1/)3>
87,"434,897,623,1000","গ01[[ ""[ ১১-৮৩৪৯ ৬৬4","07[,111 ১১-৮৩৪৯ ৬"
88,"420,895,611,1001","641011| 01{, 014","641111|= 0!{, 711"
89,"407,896,599,999",01] ১১-৮৩8৯ স[0!|1 ;[,"১১-৮৩8 ৬1 21,141 4"
90,"390,894,585,1001",ো,;3
91,"375,895,574,1000",3,2<
92,"366,895,559,999",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
93,"352,892,549,1000",২ ৫০};1 ১১-৮৩১১,২ ৫০;1 ১১-৮৩১১
94,"343,894,539,997",চ5 মে্দ্রা- ১১-৮  ৪৯,চউ মেদ্্রো-গ ১১-৮১৪৯
95,"338,894,530,999",0 (ম৫] ১১-৮ ৩৯,গট (ধ] ১১-৮ ৩৯
96,"328,895,524,1003",,
97,"325,897,517,1002",0(1|1- 4))=|0)8@ 911,(301|| ;3-10)8> 911
98,"323,898,514,1001",৮৬ মেট্রো ১১-৮৩৪৯,৬৬ মেড্েো ১১-৮৩৪৯
99,"321,899,510,1001",চট্ট মেট্টেো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
100,"312,898,507,1005",,
101,"304,898,504,1006",,
102,"292,899,495,1011",,
103,"283,902,482,1009",,
104,"276,902,471,1007",,
105,"264,901,461,1008",,
106,"253,900,455,1009",,
107,"243,898,447,1009",,
108,"232,896,439,1008",,
109,"222,895,427,1007",,
110,"211,896,410,1007",,
111,"200,896,399,1006",,
112,"190,893,393,997",,
113,"177,891,385,995",, >
114,"164,891,375,993",,
115,"152,891,364,995",,
116,"141,890,349,998",,
117,"127,889,334,1004",,
